sentence_id,sentence
HCH_006_002_000031,命拖雷出師寶鷄。
HCH_006_002_000032,遣搠不罕使宋假道，宋殺之。
HCH_006_002_000033,復遣李國昌使宋需糧。
HCH_006_002_000034,秋八月，幸雲中。
HCH_006_002_000035,始立中書省，改侍從官名。
HCH_006_002_000036,以耶律楚材為中書令，粘合重山為左丞相，鎮海為右丞相。
HCH_006_002_000037,是月，以高麗殺使者，命撒禮塔率師討之，取四十餘城。
HCH_006_002_000038,高麗王㬚遣其弟懷安公請降。
HCH_006_002_000039,撒禮塔承制設官分鎮其地，乃還。
HCH_006_002_000040,冬十月乙（酉）〔卯〕，帝圍河中。
HCH_006_002_000041,十二月己未，拔之。
HCH_006_002_000042,四年壬辰春正月戊子，帝由白坡渡河。
HCH_006_002_000043,庚寅，拖雷渡漢江，遣使來報，即詔諸軍進發。
HCH_006_002_000044,甲午，次鄭州。
HCH_006_002_000045,金防城提控馬伯堅降，授伯堅金符，使守之。
HCH_006_002_000046,丙申，大雪。
HCH_006_002_000047,丁酉，又雪。
HCH_006_002_000048,次新鄭。
HCH_006_002_000049,是日，拖雷及金師戰于鈞州之三峯，大敗之，獲金將蒲阿。
HCH_006_002_000050,戊戌，帝至三峯。
HCH_006_002_000051,壬寅，攻鈞州，克之，獲金將合達。
HCH_006_002_000052,遂下商、虢、嵩、汝、陝、洛、許、鄭、陳、亳、潁、壽、睢、永等州。
HCH_006_002_000053,三月，命速不台等圍南京，金主遣其弟曹王訛可入質。
HCH_006_002_000054,帝還，留速不台守河南。
HCH_006_002_000055,夏四月，出居庸，避暑官山。
HCH_006_002_000056,高麗叛，殺所置官吏，徙居江華島。
HCH_006_002_000057,秋七月，遣唐慶使金諭降，金殺之。
HCH_006_002_000058,八月，撒禮塔復征高麗，中矢卒。
HCH_006_002_000059,金參政完顏思烈、恒山公武仙救南京，諸軍與戰，敗之。
HCH_006_002_000060,九月，拖雷薨，帝還龍庭。
HCH_006_002_000061,冬十一月，獵于納蘭赤剌溫之野。
HCH_006_002_000062,十二月，如太祖行宮。
HCH_006_002_000063,五年癸巳春正月庚申，金主奔歸德。
HCH_006_002_000064,戊辰，金西面元帥崔立殺留守完顏奴申、完顏習捏阿不，以南京降。
HCH_006_002_000065,二月，幸鐵列都之地。
HCH_006_002_000066,詔諸王議伐萬奴，遂命皇子貴由及諸王按赤帶將左翼軍討之。
HCH_006_002_000067,夏四月，速不台進至青城，崔立以金太后王氏、后徒單氏及（荊）〔梁〕王從恪、（梁）〔荊〕王守純等至軍中，速不台遣送行在，遂入南京。
HCH_006_002_000068,六月，金主奔蔡，塔察兒率師圍之。
HCH_006_002_000069,詔以孔子五十一世孫元（楷）〔措〕襲封衍聖公。
HCH_006_002_000070,秋八月，獵于兀必思地。
HCH_006_002_000071,以阿同葛等充宣差勘事官，括中州戶，得戶七十三萬餘。
HCH_006_002_000072,九月，擒萬奴。
HCH_006_002_000073,冬十一月，宋遣荊鄂都統孟珙以兵糧來助。
HCH_006_002_000074,十二月，諸軍與宋兵合攻蔡，敗武仙于息州。
HCH_006_002_000075,金人以海、沂、萊、濰等州降。
HCH_006_002_000076,是冬，帝至阿魯兀忽可吾行宮。
HCH_006_002_000077,大風霾七晝夜。
HCH_006_002_000078,敕修孔子廟及渾天儀。
HCH_006_002_000079,六年甲午春正月，金主傳位于宗室子承麟，遂自經而焚。
HCH_006_002_000080,城拔，獲承麟，殺之。
HCH_006_002_000081,宋兵取金主餘骨以歸。
HCH_006_002_000082,金亡。
HCH_006_002_000083,是春，會諸王，宴射于斡兒寒河。
HCH_006_002_000084,夏五月，帝在達蘭達葩之地，大會諸王百僚，諭條令曰：「凡當會不赴而私宴者，斬。諸出入宮禁，各有從者，男女止以十人為朋，出入毋得相雜。軍中凡十人置甲長，聽其指揮，專擅者論罪。其甲長以事來宮中，即置權攝一人、甲外一人，二人不得擅自往來，違者罪之。諸公事非當言而言者，拳其耳；再犯，笞；三犯，杖；四犯，論死。諸千戶越萬戶前行者，隨以木鏃射之。百戶、甲長、諸軍有犯，其罪同。不遵此法者，斥罷。今後來會諸軍，甲內數不足，於近翼抽（捕）〔補〕足之。諸人或居室，或在軍，毋敢喧呼。凡來會，用善馬五十匹為一羈，守者五人，飼羸馬三人，守乞烈思三人。但盜馬一二者，即論死。諸人馬不應絆於乞烈思內者，輒沒與畜虎豹人。諸婦人製質孫燕服不如法者，及妬者，乘以驏牛徇部中，論罪，即聚財為更娶。」
HCH_006_002_000085,秋七月，以胡土虎那顏為中州斷事官。
HCH_006_002_000086,遣達海紺卜征蜀。
HCH_006_002_000087,是秋，帝在八里里答闌答八思之地，議自將伐宋，國王查老溫請行，遂遣之。
HCH_006_002_000088,冬，獵于脫卜寒地。
HCH_006_002_000089,七年乙未春，城和林，作萬安宮。
HCH_006_002_000090,遣諸王拔都及皇子貴由、皇姪蒙哥征西域，皇子闊端征秦、鞏，皇子曲出及胡土虎伐宋，唐古征高麗。
HCH_006_002_000091,秋九月，諸王口溫不花獲宋何太尉。
HCH_006_002_000092,冬十月，曲出圍棗陽，拔之，遂徇襄、鄧，入郢，虜人民牛馬數萬而還。
HCH_006_002_000093,十一月，闊端攻石門，金便宜都總帥汪世顯降。
HCH_006_002_000094,中書省臣請契勘大明曆，從之。
HCH_006_002_000095,八年丙申春正月，諸王各治具來會宴。
HCH_006_002_000096,萬安宮落成。
HCH_006_002_000097,詔印造交鈔行之。
HCH_006_002_000098,二月，命應州郭勝、鈞州孛朮魯九住、鄧州趙祥從曲出充先鋒伐宋。
HCH_006_002_000099,三月，復修孔子廟及司天臺。
HCH_006_002_000100,夏六月，復括中州戶口，得續戶一百一十餘萬。
HCH_006_002_000101,耶律楚材請立編修所於燕京，經籍所於平陽，編集經史，召儒士梁陟充長官，以王萬慶、趙著副之。
HCH_006_002_000102,秋七月，命陳時可閱刑名、科差、課稅等案，赴闕磨照。
HCH_006_002_000103,詔以真定民戶奉太后湯沐，中原諸州民戶分賜諸王、貴戚、斡魯朵：拔都，平陽府；茶合帶，太原府；古與，大名府；孛魯帶，邢州；果魯干，河間府；孛魯古帶，廣寧府；野苦，益都、濟南二府戶內撥賜；按赤帶，濱、棣州；斡陳那顏，平、灤州；皇子闊端、駙馬赤苦、公主阿剌海、公主果真、國王查剌溫、茶合帶、鍛真、蒙古寒札、按赤那顏、坼那顏、火斜、朮思，並於東平府戶內撥賜有差。
HCH_006_002_000104,耶律楚材言非便，遂命各位止設達魯花赤，朝廷置官吏收其租頒之，非奉詔不得徵兵賦。
HCH_006_002_000105,闊端率汪世顯等入蜀，取宋關外數州，斬蜀將曹友聞。
HCH_006_002_000106,冬十月，闊端入成都。
HCH_006_002_000107,詔招諭秦、鞏等二十餘州，皆降。
HCH_006_002_000108,皇子曲出薨。
HCH_006_002_000109,張柔等攻郢州，拔之。
HCH_006_002_000110,襄陽府來附，以游顯領襄陽、樊城事。
HCH_006_002_000111,九年丁酉春，獵于揭揭察哈之澤。
HCH_006_002_000112,蒙哥征欽察部，破之，擒其酋八赤蠻。
HCH_006_002_000113,夏四月，築掃隣城，作迦堅茶寒殿。
HCH_006_002_000114,六月，左翼諸部訛言括民女。
HCH_006_002_000115,帝怒，因括以賜麾下。
HCH_006_002_000116,秋八月，命朮虎乃、劉中試諸路儒士，中選者除本貫議事官，得四千三十人。
HCH_006_002_000117,冬十月，獵于野馬川。
HCH_006_002_000118,幸龍庭，遂至行宮。
HCH_006_002_000119,是冬，口溫不花等圍光州，命張柔、鞏彥暉、史天澤攻下之。
HCH_006_002_000120,遂別攻蘄州，降隨州，略地至黃州。
HCH_006_002_000121,宋懼請和，乃還。
HCH_006_002_000122,十年戊戌春，塔思軍至北峽關，宋將汪統制降。
HCH_006_002_000123,夏，襄陽別將劉義叛，執游顯等降宋。
HCH_006_002_000124,宋兵復取襄、樊。
HCH_006_002_000125,帝獵于揭揭察哈之澤。
HCH_006_002_000126,築圖蘇湖城，作迎駕殿。
HCH_006_002_000127,秋八月，陳時可、高慶民等言諸路旱蝗，詔免今年田租，仍停舊未輸納者，俟豐歲議之。
HCH_006_002_000128,十一年己亥春，復獵于揭揭察哈之澤。
HCH_006_002_000129,皇子闊端軍至自西川。
HCH_006_002_000130,秋七月，游顯自宋逃歸。
HCH_006_002_000131,以山東諸路災，免其稅糧。
HCH_006_002_000132,冬十一月，蒙哥率師圍阿速蔑怯思城，閱三月，拔之。
HCH_006_002_000133,十二月，商人奧都剌合蠻買撲中原銀課二萬二千錠，以四萬四千錠為額，從之。
HCH_006_002_000134,十二年庚子春正月，以奧都剌合蠻充提領諸路課稅所官。
HCH_006_002_000135,皇子貴由克西域未下諸部，遣使奏捷。
HCH_006_002_000136,命張柔等八萬戶伐宋。
HCH_006_002_000137,冬十二月，詔貴由班師。
HCH_006_002_000138,敕州郡失盜不獲者，以官物償之。
HCH_006_002_000139,國初，令民代償，民多亡命，至是罷之。
HCH_006_002_000140,是歲，以官民貸回鶻金償官者歲加倍，名羊羔息，其害為甚，詔以官物代還，凡七萬六千錠。
HCH_006_002_000141,仍命凡假貸歲久，惟子本相侔而止，著為令。
HCH_006_002_000142,籍諸王大臣所俘男女為民。
HCH_006_002_000143,十三年辛丑春二月，獵于揭揭察哈之澤。
HCH_006_002_000144,帝有疾，詔赦天下囚徒。
HCH_006_002_000145,帝瘳。
HCH_006_002_000146,秋，高麗國王㬚以族子綧入質。
HCH_006_002_000147,冬十月，命牙老瓦赤主管漢民公事。
HCH_006_002_000148,十一月丁亥，大獵。
HCH_006_002_000149,庚寅，還至鈋鐵𨬟胡蘭山。
HCH_006_002_000150,奧都剌合蠻進酒，帝歡飲，極夜乃罷。
HCH_006_002_000151,辛卯遲明，帝崩于行殿。
HCH_006_002_000152,在位十三年，壽五十有六。
HCH_006_002_000153,葬起輦谷。
HCH_006_002_000154,追諡英文皇帝，廟號太宗。
HCH_006_002_000155,帝有寬弘之量，忠恕之心，量時度力，舉無過事，華夏富庶，羊馬成羣，旅不齎糧，時稱治平。
HCH_006_002_000156,壬寅年春，六皇后乃馬真氏始稱制。
HCH_006_002_000157,秋七月，張柔自五河口渡淮，攻宋揚、滁、和等州。
HCH_006_002_000158,癸卯年春正月，張柔分兵屯田于襄城。
HCH_006_002_000159,夏五月，熒惑犯房星。
HCH_006_002_000160,秋，后命張柔總兵戍杞。
HCH_006_002_000161,甲辰年夏五月，中書令耶律楚材薨。
HCH_006_002_000162,乙巳年秋，后命馬步軍都元帥察罕等率騎三萬與張柔掠淮西，攻壽州，拔之，遂攻泗州、盱眙及揚州。
HCH_006_002_000163,宋制置趙蔡請和，乃還。
HCH_006_002_000164,定宗簡平皇帝，諱貴由，太宗長子也。
HCH_006_002_000165,母曰六皇后，乃馬真氏，以丙寅年生帝。
HCH_006_002_000166,太宗命諸王按只帶伐金，帝以皇子從，虜其親王而歸。
HCH_006_002_000167,又從諸王拔都西征，次阿速境，攻圍木柵山寨，以三十餘人與戰，帝及憲宗與焉。
HCH_006_002_000168,太宗嘗有旨以皇孫失烈門為嗣。
HCH_006_002_000169,太宗崩，皇后臨朝，會諸王百官於答蘭答八思之地，遂議立帝。
HCH_006_002_000170,元年丙午春正月，張柔入覲於和林。
HCH_006_002_000171,秋七月，即皇帝位于汪吉宿滅禿里之地。
HCH_006_002_000172,帝雖御極，而朝政猶出於六皇后云。
HCH_006_002_000173,冬，獵黃羊于野馬川。
HCH_006_002_000174,權萬戶史權等耀兵淮南，攻虎頭關寨，拔之，進圍黃州。
HCH_006_002_000175,二年丁未春，張柔攻泗州。
HCH_006_002_000176,夏，避暑于曲律淮黑哈速之地。
HCH_006_002_000177,秋，西巡。
HCH_006_002_000178,八月，命野里知吉帶率搠思蠻部兵征西。
HCH_006_002_000179,是月，詔蒙古人戶每百以一名充拔都魯。
HCH_006_002_000180,九月，取太宗宿衞之半，以也曲門答兒領之。
HCH_006_002_000181,冬十月，括人戶。
HCH_006_002_000182,三年戊申春三月，帝崩于橫相乙兒之地。
HCH_006_002_000183,在位三年，壽四十有三。
HCH_006_002_000184,葬起輦谷。
HCH_006_002_000185,追諡簡平皇帝，廟號定宗。
HCH_006_002_000186,是歲大旱，河水盡涸，野草自焚，牛馬十死八九，人不聊生。
HCH_006_002_000187,諸王及各部又遣使於燕京迤南諸郡，徵求貨財、弓矢、鞍轡之物，或於西域回鶻索取珠璣，或於海東樓取鷹鶻，馹騎絡繹，晝夜不絕，民力益困。
HCH_006_002_000188,然自壬寅以來，法度不一，內外離心，而太宗之政衰矣。
HCH_006_002_000189,己酉年。
HCH_006_002_000190,庚戌年。
HCH_006_002_000191,定宗崩後，議所立未決。
HCH_006_002_000192,當是時，已三歲無君。
HCH_006_002_000193,其行事之詳，簡策失書，無從考也。
